func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sign	vector	float	1000	0.000235787	0.00424112	0.033929
sign	vector	float	10000	1.18639e-05	0.842896	6.74316
sign	vector	float	100000	1.62244e-05	6.16354	49.3083
sign	vector	float	1000000	5.96093e-05	16.7759	134.207
sign	vector	float	10000000	0.000551672	18.1267	145.014
sign	vector	float	100000000	0.0367786	2.71897	21.7518
sign	vector	double	1000	1.22413e-05	0.0816904	1.30705
sign	vector	double	10000	1.24486e-05	0.803301	12.8528
sign	vector	double	100000	1.79442e-05	5.57282	89.1651
sign	vector	double	1000000	0.000524816	1.90543	30.4869
sign	vector	double	10000000	0.00810143	1.23435	19.7496
sign	vector	double	100000000	0.0697641	1.4334	22.9344
