func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sqrt	vector	float	1000	0.000726822	0.00137585	0.0110068
sqrt	vector	float	10000	1.10957e-05	0.90125	7.21
sqrt	vector	float	100000	4.42299e-05	2.26091	18.0873
sqrt	vector	float	1000000	0.000165194	6.05347	48.4278
sqrt	vector	float	10000000	0.000908835	11.0031	88.0248
sqrt	vector	float	100000000	0.0387359	2.58158	20.6527
sqrt	vector	double	1000	6.22487e-06	0.160646	2.57034
sqrt	vector	double	10000	2.42219e-05	0.412849	6.60558
sqrt	vector	double	100000	5.84417e-05	1.71111	27.3777
sqrt	vector	double	1000000	0.000357441	2.79766	44.7626
sqrt	vector	double	10000000	0.0102663	0.974058	15.5849
sqrt	vector	double	100000000	0.0828445	1.20708	19.3133
