func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matsub(CRS,CRS,CRS)	CRS	float	10000	10000	0.000357549	2.26542	27.1851
matsub(CRS,CRS,CRS)	CRS	float	20000	20000	0.000685422	2.36351	28.3621
matsub(CRS,CRS,CRS)	CRS	float	30000	30000	0.000794615	3.05808	36.697
matsub(CRS,CRS,CRS)	CRS	float	40000	40000	0.000960197	3.37431	40.4917
matsub(CRS,CRS,CRS)	CRS	float	50000	50000	0.00116569	3.47433	41.692
matsub(CRS,CRS,CRS)	CRS	float	60000	60000	0.00137947	3.5231	42.2773
matsub(CRS,CRS,CRS)	CRS	float	70000	70000	0.00159475	3.55541	42.6649
matsub(CRS,CRS,CRS)	CRS	float	80000	80000	0.00177907	3.64234	43.7081
matsub(CRS,CRS,CRS)	CRS	float	90000	90000	0.00202046	3.60809	43.2971
matsub(CRS,CRS,CRS)	CRS	float	100000	100000	0.00221589	3.65541	43.8649
matsub(CRS,CRS,CRS)	CRS	double	10000	10000	0.000556724	1.45494	34.9185
matsub(CRS,CRS,CRS)	CRS	double	20000	20000	0.000951883	1.70189	40.8454
matsub(CRS,CRS,CRS)	CRS	double	30000	30000	0.0013853	1.75414	42.0993
matsub(CRS,CRS,CRS)	CRS	double	40000	40000	0.00177525	1.8251	43.8023
matsub(CRS,CRS,CRS)	CRS	double	50000	50000	0.00216724	1.86874	44.8497
matsub(CRS,CRS,CRS)	CRS	double	60000	60000	0.00255981	1.89858	45.5658
matsub(CRS,CRS,CRS)	CRS	double	70000	70000	0.00293184	1.93394	46.4146
matsub(CRS,CRS,CRS)	CRS	double	80000	80000	0.00334456	1.93747	46.4994
matsub(CRS,CRS,CRS)	CRS	double	90000	90000	0.00374182	1.94825	46.758
matsub(CRS,CRS,CRS)	CRS	double	100000	100000	0.00417013	1.94238	46.6172
