func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.00027734	5.8412	35.0472
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.00118345	2.73777	16.4266
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00293864	1.65383	9.92297
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.00531044	1.22024	7.32142
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00907448	0.892613	5.35568
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.0113773	0.854335	5.12601
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.0137298	0.825944	4.95566
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.0117817	1.10001	6.60005
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.0186051	0.783656	4.70194
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.0113864	1.42274	8.53647
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.000719821	2.25056	27.0067
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.0065623	0.493729	5.92475
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.00418558	1.16113	13.9336
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.0126828	0.510929	6.13115
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.0231023	0.350614	4.20737
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.0188099	0.516748	6.20098
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.0252018	0.449967	5.39961
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.034739	0.373068	4.47682
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.0196375	0.742457	8.90948
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.0435555	0.371939	4.46327
