func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	0.000198632	5.03442	40.2754
mscal(Dense)	Dense	float	2000	2000	0.000556882	7.18286	57.4628
mscal(Dense)	Dense	float	3000	3000	0.00106276	8.46848	67.7478
mscal(Dense)	Dense	float	4000	4000	0.0016842	9.50003	76.0003
mscal(Dense)	Dense	float	5000	5000	0.00251548	9.93845	79.5076
mscal(Dense)	Dense	float	6000	6000	0.00352119	10.2238	81.7904
mscal(Dense)	Dense	float	7000	7000	0.00473957	10.3385	82.708
mscal(Dense)	Dense	float	8000	8000	0.00644631	9.92816	79.4253
mscal(Dense)	Dense	float	9000	9000	0.00804599	10.0671	80.537
mscal(Dense)	Dense	float	10000	10000	0.00957126	10.4479	83.5835
mscal(Dense)	Dense	double	1000	1000	0.000295749	3.38125	54.1
mscal(Dense)	Dense	double	2000	2000	0.000727093	5.50136	88.0218
mscal(Dense)	Dense	double	3000	3000	0.00165659	5.43285	86.9256
mscal(Dense)	Dense	double	4000	4000	0.0028082	5.6976	91.1617
mscal(Dense)	Dense	double	5000	5000	0.00427277	5.85101	93.6162
mscal(Dense)	Dense	double	6000	6000	0.00610566	5.89617	94.3387
mscal(Dense)	Dense	double	7000	7000	0.00820371	5.97291	95.5665
mscal(Dense)	Dense	double	8000	8000	0.0106238	6.02419	96.387
mscal(Dense)	Dense	double	9000	9000	0.0133682	6.05915	96.9465
mscal(Dense)	Dense	double	10000	10000	0.0164651	6.07346	97.1754
