func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	float	1000	1.70588e-05	0.117242	0.703449
vv_div	float	10000	2.60779e-05	0.766933	4.6016
vv_div	float	100000	0.000123187	1.62354	9.74126
vv_div	float	1000000	0.00105784	1.89064	11.3438
vv_div	float	10000000	0.0309823	0.64553	3.87318
vv_div	float	100000000	0.244105	0.819319	4.91591
vv_div	double	1000	1.81034e-05	0.110476	1.32572
vv_div	double	10000	3.68147e-05	0.543261	6.51914
vv_div	double	100000	0.000185834	1.07623	12.9148
vv_div	double	1000000	0.0018411	1.08631	13.0357
vv_div	double	10000000	0.0629659	0.317632	3.81159
vv_div	double	100000000	0.462915	0.432045	5.18454
