func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matsub(Dense,Dense,Dense)	Dense	float	1000	1000	0.000650234	1.53791	18.4549
matsub(Dense,Dense,Dense)	Dense	float	2000	2000	0.00218774	1.82837	21.9404
matsub(Dense,Dense,Dense)	Dense	float	3000	3000	0.0107654	0.836009	10.0321
matsub(Dense,Dense,Dense)	Dense	float	4000	4000	0.0198971	0.804136	9.64964
matsub(Dense,Dense,Dense)	Dense	float	5000	5000	0.0332866	0.751052	9.01262
matsub(Dense,Dense,Dense)	Dense	float	6000	6000	0.0365281	0.985543	11.8265
matsub(Dense,Dense,Dense)	Dense	float	7000	7000	0.0413872	1.18394	14.2073
matsub(Dense,Dense,Dense)	Dense	float	8000	8000	0.0457664	1.39841	16.7809
matsub(Dense,Dense,Dense)	Dense	float	9000	9000	0.063248	1.28067	15.3681
matsub(Dense,Dense,Dense)	Dense	float	10000	10000	0.069008	1.44911	17.3893
matsub(Dense,Dense,Dense)	Dense	double	1000	1000	8.57511e-05	11.6617	279.88
matsub(Dense,Dense,Dense)	Dense	double	2000	2000	0.00927397	0.431315	10.3516
matsub(Dense,Dense,Dense)	Dense	double	3000	3000	0.0130571	0.689278	16.5427
matsub(Dense,Dense,Dense)	Dense	double	4000	4000	0.0415689	0.384903	9.23767
matsub(Dense,Dense,Dense)	Dense	double	5000	5000	0.0496319	0.503708	12.089
matsub(Dense,Dense,Dense)	Dense	double	6000	6000	0.0440213	0.817785	19.6268
matsub(Dense,Dense,Dense)	Dense	double	7000	7000	0.0680661	0.719889	17.2773
matsub(Dense,Dense,Dense)	Dense	double	8000	8000	0.061587	1.03918	24.9403
matsub(Dense,Dense,Dense)	Dense	double	9000	9000	0.0883016	0.91731	22.0154
matsub(Dense,Dense,Dense)	Dense	double	10000	10000	0.0794417	1.25878	30.2108
