func	kind	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	Dense	float	1000	1000	0.00614943	0.325233
mv_mul(Dense)	Dense	float	2000	2000	0.000575633	13.8977
mv_mul(Dense)	Dense	float	3000	3000	0.000813202	22.1347
mv_mul(Dense)	Dense	float	4000	4000	0.00114182	28.0254
mv_mul(Dense)	Dense	float	5000	5000	0.00150221	33.2842
mv_mul(Dense)	Dense	float	6000	6000	0.00202119	35.6226
mv_mul(Dense)	Dense	float	7000	7000	0.00251008	39.0427
mv_mul(Dense)	Dense	float	8000	8000	0.00329864	38.8038
mv_mul(Dense)	Dense	float	9000	9000	0.00403185	40.18
mv_mul(Dense)	Dense	float	10000	10000	0.00481406	41.545
mv_mul(Dense)	Dense	double	1000	1000	0.000466974	4.2829
mv_mul(Dense)	Dense	double	2000	2000	0.000777531	10.289
mv_mul(Dense)	Dense	double	3000	3000	0.00118143	15.2357
mv_mul(Dense)	Dense	double	4000	4000	0.00181379	17.6426
mv_mul(Dense)	Dense	double	5000	5000	0.00251696	19.8653
mv_mul(Dense)	Dense	double	6000	6000	0.0036843	19.5424
mv_mul(Dense)	Dense	double	7000	7000	0.00471363	20.7908
mv_mul(Dense)	Dense	double	8000	8000	0.0059827	21.395
mv_mul(Dense)	Dense	double	9000	9000	0.00733381	22.0895
mv_mul(Dense)	Dense	double	10000	10000	0.00892061	22.42
