func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_sub(Dense,Dense,Dense)	Dense	float	1000	1000	0.000801967	1.24693	14.9632
mm_sub(Dense,Dense,Dense)	Dense	float	2000	2000	0.00191013	2.0941	25.1292
mm_sub(Dense,Dense,Dense)	Dense	float	3000	3000	0.004988	1.80433	21.652
mm_sub(Dense,Dense,Dense)	Dense	float	4000	4000	0.0105742	1.51311	18.1573
mm_sub(Dense,Dense,Dense)	Dense	float	5000	5000	0.0216755	1.15337	13.8405
mm_sub(Dense,Dense,Dense)	Dense	float	6000	6000	0.0182998	1.96723	23.6068
mm_sub(Dense,Dense,Dense)	Dense	float	7000	7000	0.0445999	1.09866	13.1839
mm_sub(Dense,Dense,Dense)	Dense	float	8000	8000	0.0301492	2.12278	25.4733
mm_sub(Dense,Dense,Dense)	Dense	float	9000	9000	0.047693	1.69836	20.3803
mm_sub(Dense,Dense,Dense)	Dense	float	10000	10000	0.0556565	1.79674	21.5608
mm_sub(Dense,Dense,Dense)	Dense	double	1000	1000	0.00133327	0.750035	18.0008
mm_sub(Dense,Dense,Dense)	Dense	double	2000	2000	0.007776	0.514403	12.3457
mm_sub(Dense,Dense,Dense)	Dense	double	3000	3000	0.0374746	0.240163	5.7639
mm_sub(Dense,Dense,Dense)	Dense	double	4000	4000	0.0190257	0.840966	20.1832
mm_sub(Dense,Dense,Dense)	Dense	double	5000	5000	0.0309286	0.808313	19.3995
mm_sub(Dense,Dense,Dense)	Dense	double	6000	6000	0.0668074	0.538863	12.9327
mm_sub(Dense,Dense,Dense)	Dense	double	7000	7000	0.098431	0.497811	11.9475
mm_sub(Dense,Dense,Dense)	Dense	double	8000	8000	0.171334	0.37354	8.96496
mm_sub(Dense,Dense,Dense)	Dense	double	9000	9000	0.0766965	1.05611	25.3467
mm_sub(Dense,Dense,Dense)	Dense	double	10000	10000	0.166223	0.601601	14.4384
