func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_sub(Dense,Dense,Dense)	Dense	float	1000	1000	0.000852736	1.1727	14.0724
mm_sub(Dense,Dense,Dense)	Dense	float	2000	2000	0.00921803	0.433932	5.20719
mm_sub(Dense,Dense,Dense)	Dense	float	3000	3000	0.0208894	0.430841	5.17009
mm_sub(Dense,Dense,Dense)	Dense	float	4000	4000	0.00951692	1.68122	20.1746
mm_sub(Dense,Dense,Dense)	Dense	float	5000	5000	0.0257906	0.969347	11.6322
mm_sub(Dense,Dense,Dense)	Dense	float	6000	6000	0.0273303	1.31722	15.8066
mm_sub(Dense,Dense,Dense)	Dense	float	7000	7000	0.032791	1.49431	17.9318
mm_sub(Dense,Dense,Dense)	Dense	float	8000	8000	0.0328489	1.94832	23.3798
mm_sub(Dense,Dense,Dense)	Dense	float	9000	9000	0.0718207	1.12781	13.5337
mm_sub(Dense,Dense,Dense)	Dense	float	10000	10000	0.0617721	1.61885	19.4262
mm_sub(Dense,Dense,Dense)	Dense	double	1000	1000	0.00039357	2.54084	60.9802
mm_sub(Dense,Dense,Dense)	Dense	double	2000	2000	0.00612754	0.652791	15.667
mm_sub(Dense,Dense,Dense)	Dense	double	3000	3000	0.0115408	0.779841	18.7162
mm_sub(Dense,Dense,Dense)	Dense	double	4000	4000	0.0186646	0.857236	20.5737
mm_sub(Dense,Dense,Dense)	Dense	double	5000	5000	0.0430551	0.580651	13.9356
mm_sub(Dense,Dense,Dense)	Dense	double	6000	6000	0.0578331	0.62248	14.9395
mm_sub(Dense,Dense,Dense)	Dense	double	7000	7000	0.061034	0.802831	19.2679
mm_sub(Dense,Dense,Dense)	Dense	double	8000	8000	0.105758	0.605156	14.5237
mm_sub(Dense,Dense,Dense)	Dense	double	9000	9000	0.119666	0.676881	16.2452
mm_sub(Dense,Dense,Dense)	Dense	double	10000	10000	0.161747	0.618251	14.838
