func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sign	vector	float	1000	2.95003e-05	0.0338979	0.271183
sign	vector	float	10000	3.51995e-05	0.284095	2.27276
sign	vector	float	100000	5.71482e-05	1.74984	13.9987
sign	vector	float	1000000	0.000239863	4.16905	33.3524
sign	vector	float	10000000	0.00140976	7.09342	56.7473
sign	vector	float	100000000	0.00991025	10.0906	80.7245
sign	vector	double	1000	5.35195e-05	0.0186848	0.298956
sign	vector	double	10000	5.20469e-05	0.192135	3.07415
sign	vector	double	100000	6.25121e-05	1.59969	25.5951
sign	vector	double	1000000	0.000333328	3.00004	48.0007
sign	vector	double	10000000	0.00188876	5.29447	84.7115
sign	vector	double	100000000	0.016458	6.07608	97.2173
