func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.000194489	5.14167
m_tanh(Dense)	Dense	float	2000	2000	0.000600456	6.6616
m_tanh(Dense)	Dense	float	3000	3000	0.0012756	7.0555
m_tanh(Dense)	Dense	float	4000	4000	0.00206747	7.73892
m_tanh(Dense)	Dense	float	5000	5000	0.00288984	8.65101
m_tanh(Dense)	Dense	float	6000	6000	0.00379432	9.48788
m_tanh(Dense)	Dense	float	7000	7000	0.00525503	9.3244
m_tanh(Dense)	Dense	float	8000	8000	0.00674215	9.49252
m_tanh(Dense)	Dense	float	9000	9000	0.00848888	9.54189
m_tanh(Dense)	Dense	float	10000	10000	0.010384	9.63022
m_tanh(Dense)	Dense	double	1000	1000	0.00044173	2.26382
m_tanh(Dense)	Dense	double	2000	2000	0.00143393	2.78954
m_tanh(Dense)	Dense	double	3000	3000	0.00313879	2.86735
m_tanh(Dense)	Dense	double	4000	4000	0.00557547	2.86971
m_tanh(Dense)	Dense	double	5000	5000	0.00869176	2.87629
m_tanh(Dense)	Dense	double	6000	6000	0.0124624	2.88869
m_tanh(Dense)	Dense	double	7000	7000	0.0168847	2.90204
m_tanh(Dense)	Dense	double	8000	8000	0.0220293	2.90522
m_tanh(Dense)	Dense	double	9000	9000	0.0278209	2.91148
m_tanh(Dense)	Dense	double	10000	10000	0.0343766	2.90895
