func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.000148467	6.73551	80.8262
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.00215982	1.852	22.224
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.00481154	1.8705	22.446
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.00858715	1.86325	22.359
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.0133561	1.8718	22.4616
matadd(Dense,Dense,Dense)	Dense	float	6000	6000	0.0192641	1.86876	22.4252
matadd(Dense,Dense,Dense)	Dense	float	7000	7000	0.0259859	1.88563	22.6276
matadd(Dense,Dense,Dense)	Dense	float	8000	8000	0.0341999	1.87135	22.4562
matadd(Dense,Dense,Dense)	Dense	float	9000	9000	0.0426607	1.8987	22.7844
matadd(Dense,Dense,Dense)	Dense	float	10000	10000	0.0533231	1.87536	22.5043
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.00108822	0.918929	22.0543
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.00429914	0.930418	22.33
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.00965394	0.932262	22.3743
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.0171526	0.932803	22.3873
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.0266611	0.937697	22.5047
matadd(Dense,Dense,Dense)	Dense	double	6000	6000	0.0384933	0.935229	22.4455
matadd(Dense,Dense,Dense)	Dense	double	7000	7000	0.0518951	0.944213	22.6611
matadd(Dense,Dense,Dense)	Dense	double	8000	8000	0.0682393	0.937875	22.509
matadd(Dense,Dense,Dense)	Dense	double	9000	9000	0.0858536	0.943466	22.6432
matadd(Dense,Dense,Dense)	Dense	double	10000	10000	0.10835	0.922931	22.1503
