func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_mul(CRS,CRS)	CRS	float	10000	10000	0.000345404	4.69016	18.7606
sm_mul(CRS,CRS)	CRS	float	20000	20000	0.000569377	5.69043	22.7617
sm_mul(CRS,CRS)	CRS	float	30000	30000	0.000775029	6.27073	25.0829
sm_mul(CRS,CRS)	CRS	float	40000	40000	0.000970671	6.6758	26.7032
sm_mul(CRS,CRS)	CRS	float	50000	50000	0.00107642	7.52494	30.0998
sm_mul(CRS,CRS)	CRS	float	60000	60000	0.00117057	8.30364	33.2146
sm_mul(CRS,CRS)	CRS	float	70000	70000	0.00135028	8.39823	33.5929
sm_mul(CRS,CRS)	CRS	float	80000	80000	0.00140688	9.21188	36.8475
sm_mul(CRS,CRS)	CRS	float	90000	90000	0.00154464	9.43907	37.7563
sm_mul(CRS,CRS)	CRS	float	100000	100000	0.00172779	9.37613	37.5045
sm_mul(CRS,CRS)	CRS	double	10000	10000	0.000425117	3.81071	30.4857
sm_mul(CRS,CRS)	CRS	double	20000	20000	0.000719232	4.5048	36.0384
sm_mul(CRS,CRS)	CRS	double	30000	30000	0.00098191	4.94954	39.5963
sm_mul(CRS,CRS)	CRS	double	40000	40000	0.00125134	5.17845	41.4276
sm_mul(CRS,CRS)	CRS	double	50000	50000	0.00152348	5.31679	42.5343
sm_mul(CRS,CRS)	CRS	double	60000	60000	0.00179392	5.41832	43.3465
sm_mul(CRS,CRS)	CRS	double	70000	70000	0.00206089	5.50248	44.0199
sm_mul(CRS,CRS)	CRS	double	80000	80000	0.00236138	5.48832	43.9066
sm_mul(CRS,CRS)	CRS	double	90000	90000	0.00264074	5.52119	44.1695
sm_mul(CRS,CRS)	CRS	double	100000	100000	0.00289404	5.5977	44.7816
