func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asinh	vector	float	1000	3.51699e-05	0.0284334	0.227467
asinh	vector	float	10000	7.89418e-05	0.126676	1.0134
asinh	vector	float	100000	0.000129253	0.773674	6.1894
asinh	vector	float	1000000	0.00124373	0.804033	6.43226
asinh	vector	float	10000000	0.0126318	0.791655	6.33324
asinh	vector	float	100000000	0.126724	0.789118	6.31295
asinh	vector	double	1000	1.86477e-05	0.053626	0.858016
asinh	vector	double	10000	6.24965e-05	0.160009	2.56014
asinh	vector	double	100000	0.000171819	0.582006	9.3121
asinh	vector	double	1000000	0.00138816	0.720377	11.526
asinh	vector	double	10000000	0.0140362	0.712443	11.3991
asinh	vector	double	100000000	0.139317	0.717787	11.4846
