func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sqrt	vector	float	1000	3.48566e-05	0.028689	0.229512
sqrt	vector	float	10000	3.88493e-05	0.257405	2.05924
sqrt	vector	float	100000	6.33532e-05	1.57845	12.6276
sqrt	vector	float	1000000	0.000277824	3.59941	28.7952
sqrt	vector	float	10000000	0.00182154	5.48987	43.919
sqrt	vector	float	100000000	0.0138561	7.21704	57.7363
sqrt	vector	double	1000	2.49041e-05	0.040154	0.642464
sqrt	vector	double	10000	8.52589e-05	0.11729	1.87664
sqrt	vector	double	100000	9.7504e-05	1.0256	16.4096
sqrt	vector	double	1000000	0.000492965	2.02854	32.4567
sqrt	vector	double	10000000	0.00272178	3.67406	58.785
sqrt	vector	double	100000000	0.0251204	3.98083	63.6934
