func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vecadd	vector	float	1000	2.41046e-05	0.0414858	0.49783
vecadd	vector	float	10000	3.14753e-06	3.17709	38.1251
vecadd	vector	float	100000	6.02963e-06	16.5848	199.017
vecadd	vector	float	1000000	0.000157562	6.34669	76.1603
vecadd	vector	float	10000000	0.00534629	1.87046	22.4455
vecadd	vector	float	100000000	0.0532749	1.87706	22.5247
vecadd	vector	double	1000	2.63537e-06	0.379454	9.10689
vecadd	vector	double	10000	2.9403e-06	3.40101	81.6243
vecadd	vector	double	100000	7.7012e-06	12.985	311.64
vecadd	vector	double	1000000	0.0010946	0.913574	21.9258
vecadd	vector	double	10000000	0.0106324	0.940518	22.5724
vecadd	vector	double	100000000	0.108505	0.921612	22.1187
