func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000933106	0.00107169	0.00428676	
sum	float	10000	0.000945679	0.0105744	0.0422976	
sum	float	100000	0.00103756	0.0963799	0.38552	
sum	float	1000000	0.00194484	0.514182	2.05673	
sum	float	10000000	0.011055	0.904571	3.61829	
sum	float	100000000	0.0826688	1.20965	4.83859	
sum	double	1000	0.000729532	0.00137074	0.0109659	
sum	double	10000	0.000742409	0.0134697	0.107757	
sum	double	100000	0.000852058	0.117363	0.938903	
sum	double	1000000	0.0019869	0.503297	4.02638	
sum	double	10000000	0.0132144	0.756752	6.05402	
sum	double	100000000	0.126184	0.792491	6.33993	
