func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	vector	float	1000	2.731e-07	7.32332	43.9399
axpy	vector	float	2000	3.716e-07	10.7643	64.5856
axpy	vector	float	4000	7.58e-07	10.5541	63.3245
axpy	vector	float	8000	1.9958e-06	8.01684	48.101
axpy	vector	float	16000	8.0032e-06	3.9984	23.9904
axpy	vector	float	32000	9.2506e-06	6.91847	41.5108
axpy	vector	float	64000	9.0684e-06	14.1149	84.6897
axpy	vector	float	128000	1.05081e-05	24.3622	146.173
axpy	vector	float	256000	1.2412e-05	41.2504	247.502
axpy	vector	float	512000	2.01769e-05	50.7511	304.507
axpy	vector	float	1024000	3.3393e-05	61.3302	367.981
axpy	vector	float	2048000	5.86902e-05	69.7902	418.741
axpy	vector	float	4096000	0.000113861	71.9476	431.686
axpy	vector	float	8192000	0.00168673	9.7135	58.281
axpy	vector	float	16384000	0.0126443	2.59152	15.5491
axpy	vector	float	32768000	0.0159364	4.11234	24.6741
axpy	vector	float	65536000	0.0226005	5.79952	34.7971
axpy	vector	double	1000	6.325e-07	3.16206	37.9447
axpy	vector	double	2000	1.0562e-06	3.78716	45.4459
axpy	vector	double	4000	2.2663e-06	3.52998	42.3598
axpy	vector	double	8000	7.6614e-06	2.08839	25.0607
axpy	vector	double	16000	7.2984e-06	4.38452	52.6143
axpy	vector	double	32000	9.6898e-06	6.60488	79.2586
axpy	vector	double	64000	1.08269e-05	11.8224	141.869
axpy	vector	double	128000	1.34014e-05	19.1025	229.23
axpy	vector	double	256000	1.84351e-05	27.7731	333.277
axpy	vector	double	512000	3.40307e-05	30.0905	361.086
axpy	vector	double	1024000	6.02315e-05	34.0021	408.026
axpy	vector	double	2048000	0.00014192	28.8613	346.335
axpy	vector	double	4096000	0.0051416	1.59328	19.1193
axpy	vector	double	8192000	0.0139046	1.17831	14.1398
axpy	vector	double	16384000	0.0248162	1.32043	15.8452
axpy	vector	double	32768000	0.0453045	1.44657	17.3588
axpy	vector	double	65536000	0.0359169	3.64931	43.7918
