func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	vector	float	1000	2.383e-07	8.39278	33.5711
dot	vector	float	2000	2.774e-07	14.4196	57.6784
dot	vector	float	4000	5.968e-07	13.4048	53.6193
dot	vector	float	8000	1.6393e-06	9.76026	39.0411
dot	vector	float	16000	9.1167e-06	3.51004	14.0402
dot	vector	float	32000	1.03579e-05	6.17886	24.7154
dot	vector	float	64000	8.1529e-06	15.6999	62.7997
dot	vector	float	128000	9.3676e-06	27.3282	109.313
dot	vector	float	256000	1.12491e-05	45.5148	182.059
dot	vector	float	512000	1.49705e-05	68.4012	273.605
dot	vector	float	1024000	2.77059e-05	73.9193	295.677
dot	vector	float	2048000	4.92725e-05	83.1295	332.518
dot	vector	float	4096000	9.26588e-05	88.4104	353.642
dot	vector	float	8192000	0.00130646	12.5408	50.1632
dot	vector	float	16384000	0.0130075	2.51915	10.0766
dot	vector	float	32768000	0.0106968	6.12671	24.5068
dot	vector	float	65536000	0.0274314	4.77817	19.1127
dot	vector	double	1000	8.451e-07	2.36658	18.9327
dot	vector	double	2000	6.799e-07	5.88322	47.0657
dot	vector	double	4000	1.539e-06	5.19818	41.5854
dot	vector	double	8000	7.7588e-06	2.06217	16.4974
dot	vector	double	16000	7.4231e-06	4.31087	34.4869
dot	vector	double	32000	8.2346e-06	7.77208	62.1767
dot	vector	double	64000	1.23823e-05	10.3373	82.6987
dot	vector	double	128000	1.16123e-05	22.0456	176.365
dot	vector	double	256000	1.62253e-05	31.5557	252.445
dot	vector	double	512000	2.8401e-05	36.0551	288.441
dot	vector	double	1024000	4.79504e-05	42.7108	341.686
dot	vector	double	2048000	0.000227534	18.0017	144.014
dot	vector	double	4096000	0.00464225	1.76466	14.1173
dot	vector	double	8192000	0.0125352	1.30704	10.4563
dot	vector	double	16384000	0.0109452	2.99381	23.9505
dot	vector	double	32768000	0.0304523	2.15209	17.2167
dot	vector	double	65536000	0.019692	6.6561	53.2488
