func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	CRS	float	1000	1000	0.00154276	0.0525033
m_tanh(CRS)	CRS	float	2000	2000	0.000101219	1.60049
m_tanh(CRS)	CRS	float	4000	4000	0.000186948	1.7331
m_tanh(CRS)	CRS	float	8000	8000	0.000356906	1.81561
m_tanh(CRS)	CRS	float	16000	16000	0.000694457	1.86621
m_tanh(CRS)	CRS	float	32000	32000	0.00136169	1.90352
m_tanh(CRS)	CRS	float	64000	64000	0.00275225	1.88355
m_tanh(CRS)	CRS	double	1000	1000	8.84878e-05	0.91538
m_tanh(CRS)	CRS	double	2000	2000	0.000154485	1.04865
m_tanh(CRS)	CRS	double	4000	4000	0.000300497	1.07821
m_tanh(CRS)	CRS	double	8000	8000	0.000587609	1.10277
m_tanh(CRS)	CRS	double	16000	16000	0.00115681	1.12032
m_tanh(CRS)	CRS	double	32000	32000	0.00235873	1.0989
m_tanh(CRS)	CRS	double	64000	64000	0.00781723	0.663151
