func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	vector	float	1000	1.65554e-05	0.120807	0.724839
vv_sub	vector	float	2000	1.70498e-05	0.234607	1.40764
vv_sub	vector	float	4000	1.92841e-05	0.41485	2.4891
vv_sub	vector	float	8000	2.26934e-05	0.705051	4.2303
vv_sub	vector	float	16000	3.02149e-05	1.05908	6.35448
vv_sub	vector	float	32000	4.60907e-05	1.38857	8.3314
vv_sub	vector	float	64000	8.46801e-05	1.51157	9.06943
vv_sub	vector	float	128000	0.000138517	1.84815	11.0889
vv_sub	vector	float	256000	0.000249754	2.05002	12.3001
vv_sub	vector	float	512000	0.000487204	2.10179	12.6107
vv_sub	vector	float	1024000	0.000856186	2.392	14.352
vv_sub	vector	float	2048000	0.00168764	2.42706	14.5624
vv_sub	vector	float	4096000	0.00721569	1.1353	6.81183
vv_sub	vector	float	8192000	0.0184804	0.88656	5.31936
vv_sub	vector	float	16384000	0.052157	0.628257	3.76954
vv_sub	vector	float	32768000	0.0950055	0.689813	4.13888
vv_sub	vector	float	65536000	0.121597	1.07793	6.46755
vv_sub	vector	double	1000	1.77231e-05	0.112847	1.35416
vv_sub	vector	double	2000	1.84378e-05	0.216946	2.60335
vv_sub	vector	double	4000	2.18674e-05	0.365841	4.3901
vv_sub	vector	double	8000	2.96272e-05	0.540044	6.48053
vv_sub	vector	double	16000	4.4169e-05	0.72449	8.69388
vv_sub	vector	double	32000	6.96464e-05	0.918928	11.0271
vv_sub	vector	double	64000	0.00010949	1.16906	14.0287
vv_sub	vector	double	128000	0.000198484	1.28978	15.4773
vv_sub	vector	double	256000	0.000329963	1.55169	18.6203
vv_sub	vector	double	512000	0.00063321	1.61716	19.4059
vv_sub	vector	double	1024000	0.00141357	1.44881	17.3857
vv_sub	vector	double	2048000	0.00693439	0.590679	7.08815
vv_sub	vector	double	4096000	0.0198761	0.412152	4.94583
vv_sub	vector	double	8192000	0.0525599	0.311721	3.74065
vv_sub	vector	double	16384000	0.102946	0.318302	3.81963
vv_sub	vector	double	32768000	0.167896	0.390337	4.68405
vv_sub	vector	double	65536000	0.331484	0.395409	4.74491
