func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	6.998e-07	2.85796	5.71592
nrm2	float	10000	2.2687e-06	8.81562	17.6312
nrm2	float	100000	9.0498e-06	22.0999	44.1999
nrm2	float	1000000	2.54973e-05	78.4397	156.879
nrm2	float	10000000	0.000452422	44.2065	88.4131
nrm2	float	100000000	0.00755079	26.4873	52.9746
nrm2	double	1000	4.726e-07	4.23191	16.9276
nrm2	double	10000	6.4798e-06	3.08652	12.3461
nrm2	double	100000	1.10385e-05	18.1184	72.4736
nrm2	double	1000000	3.2444e-05	61.6447	246.579
nrm2	double	10000000	0.00736914	2.71402	10.8561
nrm2	double	100000000	0.0265227	7.54071	30.1629
