func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	2.24057e-05	0.089263	0.535578
vv_sub	float	10000	2.64888e-05	0.755036	4.53022
vv_sub	float	100000	0.000118846	1.68285	10.0971
vv_sub	float	1000000	0.000845214	2.36627	14.1976
vv_sub	float	10000000	0.0259065	0.772007	4.63204
vv_sub	float	100000000	0.243336	0.821908	4.93145
vv_sub	double	1000	0.00297784	0.000671627	0.00805952
vv_sub	double	10000	3.42326e-05	0.584238	7.01086
vv_sub	double	100000	0.000198032	1.00994	12.1193
vv_sub	double	1000000	0.00182388	1.09656	13.1587
vv_sub	double	10000000	0.0508769	0.393106	4.71727
vv_sub	double	100000000	0.505232	0.395857	4.75029
