func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.000195098	5.12562
m_tanh(Dense)	Dense	float	2000	2000	0.000611863	6.53741
m_tanh(Dense)	Dense	float	3000	3000	0.00128547	7.00135
m_tanh(Dense)	Dense	float	4000	4000	0.00223327	7.16438
m_tanh(Dense)	Dense	float	5000	5000	0.00311905	8.01526
m_tanh(Dense)	Dense	float	6000	6000	0.00383622	9.38424
m_tanh(Dense)	Dense	float	7000	7000	0.0051438	9.52604
m_tanh(Dense)	Dense	float	8000	8000	0.00670325	9.5476
m_tanh(Dense)	Dense	float	9000	9000	0.00843779	9.59967
m_tanh(Dense)	Dense	float	10000	10000	0.0103839	9.6303
m_tanh(Dense)	Dense	double	1000	1000	0.000447064	2.23681
m_tanh(Dense)	Dense	double	2000	2000	0.00146152	2.73687
m_tanh(Dense)	Dense	double	3000	3000	0.00312925	2.87608
m_tanh(Dense)	Dense	double	4000	4000	0.00556748	2.87383
m_tanh(Dense)	Dense	double	5000	5000	0.00867423	2.8821
m_tanh(Dense)	Dense	double	6000	6000	0.0124321	2.89572
m_tanh(Dense)	Dense	double	7000	7000	0.0168527	2.90754
m_tanh(Dense)	Dense	double	8000	8000	0.0219481	2.91597
m_tanh(Dense)	Dense	double	9000	9000	0.027707	2.92345
m_tanh(Dense)	Dense	double	10000	10000	0.034292	2.91613
