func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_reciprocal(Dense)	Dense	float	1000	1000	0.000198594	5.03541
m_reciprocal(Dense)	Dense	float	2000	2000	0.000615407	6.49976
m_reciprocal(Dense)	Dense	float	3000	3000	0.00131117	6.86411
m_reciprocal(Dense)	Dense	float	4000	4000	0.0022839	7.00555
m_reciprocal(Dense)	Dense	float	5000	5000	0.00353278	7.07659
m_reciprocal(Dense)	Dense	float	6000	6000	0.00512643	7.02243
m_reciprocal(Dense)	Dense	float	7000	7000	0.00699413	7.00587
m_reciprocal(Dense)	Dense	float	8000	8000	0.00911204	7.02367
m_reciprocal(Dense)	Dense	float	9000	9000	0.0114792	7.05624
m_reciprocal(Dense)	Dense	float	10000	10000	0.0141203	7.08201
m_reciprocal(Dense)	Dense	double	1000	1000	0.000299475	3.33918
m_reciprocal(Dense)	Dense	double	2000	2000	0.000949927	4.21085
m_reciprocal(Dense)	Dense	double	3000	3000	0.00205127	4.38753
m_reciprocal(Dense)	Dense	double	4000	4000	0.00359541	4.45012
m_reciprocal(Dense)	Dense	double	5000	5000	0.0056637	4.41408
m_reciprocal(Dense)	Dense	double	6000	6000	0.00813718	4.42414
m_reciprocal(Dense)	Dense	double	7000	7000	0.0110058	4.45221
m_reciprocal(Dense)	Dense	double	8000	8000	0.0142977	4.47623
m_reciprocal(Dense)	Dense	double	9000	9000	0.0180894	4.47777
m_reciprocal(Dense)	Dense	double	10000	10000	0.0222074	4.503
