func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.000163358	6.12153
m_tanh(Dense)	Dense	float	2000	2000	0.000475016	8.42076
m_tanh(Dense)	Dense	float	3000	3000	0.000991985	9.07272
m_tanh(Dense)	Dense	float	4000	4000	0.00171578	9.32519
m_tanh(Dense)	Dense	float	5000	5000	0.00264692	9.44493
m_tanh(Dense)	Dense	float	6000	6000	0.003803	9.46621
m_tanh(Dense)	Dense	float	7000	7000	0.00547687	8.94672
m_tanh(Dense)	Dense	float	8000	8000	0.00683811	9.35931
m_tanh(Dense)	Dense	float	9000	9000	0.0089644	9.03574
m_tanh(Dense)	Dense	float	10000	10000	0.0109928	9.09687
m_tanh(Dense)	Dense	double	1000	1000	0.000455298	2.19637
m_tanh(Dense)	Dense	double	2000	2000	0.00146079	2.73825
m_tanh(Dense)	Dense	double	3000	3000	0.00319954	2.81291
m_tanh(Dense)	Dense	double	4000	4000	0.00603253	2.65229
m_tanh(Dense)	Dense	double	5000	5000	0.00884248	2.82726
m_tanh(Dense)	Dense	double	6000	6000	0.0126777	2.83964
m_tanh(Dense)	Dense	double	7000	7000	0.0171643	2.85477
m_tanh(Dense)	Dense	double	8000	8000	0.0223201	2.86737
m_tanh(Dense)	Dense	double	9000	9000	0.028193	2.87305
m_tanh(Dense)	Dense	double	10000	10000	0.0348417	2.87012
