func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	7.98669e-05	12.5208	100.167
mscal(Dense)	Dense	float	2000	2000	0.00118921	3.36358	26.9087
mscal(Dense)	Dense	float	3000	3000	0.00334708	2.68891	21.5113
mscal(Dense)	Dense	float	4000	4000	0.00593767	2.69466	21.5573
mscal(Dense)	Dense	float	5000	5000	0.00926267	2.69901	21.592
mscal(Dense)	Dense	float	6000	6000	0.0133211	2.70247	21.6198
mscal(Dense)	Dense	float	7000	7000	0.0180408	2.71606	21.7285
mscal(Dense)	Dense	float	8000	8000	0.0235374	2.71907	21.7526
mscal(Dense)	Dense	float	9000	9000	0.0296853	2.72862	21.829
mscal(Dense)	Dense	float	10000	10000	0.0364579	2.74289	21.9431
mscal(Dense)	Dense	double	1000	1000	8.47354e-05	11.8014	188.823
mscal(Dense)	Dense	double	2000	2000	0.00296268	1.35013	21.6021
mscal(Dense)	Dense	double	3000	3000	0.00667284	1.34875	21.58
mscal(Dense)	Dense	double	4000	4000	0.0118107	1.35471	21.6753
mscal(Dense)	Dense	double	5000	5000	0.0183886	1.35954	21.7526
mscal(Dense)	Dense	double	6000	6000	0.0264198	1.36262	21.8019
mscal(Dense)	Dense	double	7000	7000	0.0355906	1.37677	22.0283
mscal(Dense)	Dense	double	8000	8000	0.0461813	1.38584	22.1735
mscal(Dense)	Dense	double	9000	9000	0.0577723	1.40206	22.4329
mscal(Dense)	Dense	double	10000	10000	0.0707182	1.41406	22.625
