func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00550326
convert(COO,CRS)	CRS	float	20000	20000	0.0112703
convert(COO,CRS)	CRS	float	30000	30000	0.0165527
convert(COO,CRS)	CRS	float	40000	40000	0.0215462
convert(COO,CRS)	CRS	float	50000	50000	0.0267928
convert(COO,CRS)	CRS	float	60000	60000	0.0316645
convert(COO,CRS)	CRS	float	70000	70000	0.0371798
convert(COO,CRS)	CRS	float	80000	80000	0.04206
convert(COO,CRS)	CRS	float	90000	90000	0.0443097
convert(COO,CRS)	CRS	float	100000	100000	0.0479741
convert(COO,CRS)	CRS	double	10000	10000	0.00352326
convert(COO,CRS)	CRS	double	20000	20000	0.0072121
convert(COO,CRS)	CRS	double	30000	30000	0.018819
convert(COO,CRS)	CRS	double	40000	40000	0.02487
convert(COO,CRS)	CRS	double	50000	50000	0.0303267
convert(COO,CRS)	CRS	double	60000	60000	0.0420477
convert(COO,CRS)	CRS	double	70000	70000	0.046416
convert(COO,CRS)	CRS	double	80000	80000	0.0531152
convert(COO,CRS)	CRS	double	90000	90000	0.0597408
convert(COO,CRS)	CRS	double	100000	100000	0.0662487
