func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atan(CRS)	CRS	float	10000	10000	0.000303548	2.66844
m_atan(CRS)	CRS	float	20000	20000	0.000559357	2.89618
m_atan(CRS)	CRS	float	30000	30000	0.000810623	2.99769
m_atan(CRS)	CRS	float	40000	40000	0.0010606	3.05488
m_atan(CRS)	CRS	float	50000	50000	0.00131137	3.08837
m_atan(CRS)	CRS	float	60000	60000	0.00156181	3.11178
m_atan(CRS)	CRS	float	70000	70000	0.00181241	3.12844
m_atan(CRS)	CRS	float	80000	80000	0.00206252	3.14179
m_atan(CRS)	CRS	float	90000	90000	0.00231304	3.1517
m_atan(CRS)	CRS	float	100000	100000	0.00256351	3.15973
m_atan(CRS)	CRS	double	10000	10000	0.00105687	0.766413
m_atan(CRS)	CRS	double	20000	20000	0.00205431	0.788587
m_atan(CRS)	CRS	double	30000	30000	0.00305166	0.796289
m_atan(CRS)	CRS	double	40000	40000	0.00404924	0.800151
m_atan(CRS)	CRS	double	50000	50000	0.00506813	0.799112
m_atan(CRS)	CRS	double	60000	60000	0.00610698	0.795811
m_atan(CRS)	CRS	double	70000	70000	0.0071434	0.79374
m_atan(CRS)	CRS	double	80000	80000	0.00815693	0.794417
m_atan(CRS)	CRS	double	90000	90000	0.00917967	0.794146
m_atan(CRS)	CRS	double	100000	100000	0.0101885	0.795015
