func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atan(Dense)	Dense	float	1000	1000	0.00317727	0.314735
m_atan(Dense)	Dense	float	2000	2000	0.00826398	0.484028
m_atan(Dense)	Dense	float	3000	3000	0.0187512	0.47997
m_atan(Dense)	Dense	float	4000	4000	0.0316191	0.506024
m_atan(Dense)	Dense	float	5000	5000	0.0447282	0.558932
m_atan(Dense)	Dense	float	6000	6000	0.0643154	0.559742
m_atan(Dense)	Dense	float	7000	7000	0.0925719	0.529318
m_atan(Dense)	Dense	float	8000	8000	0.127457	0.502129
m_atan(Dense)	Dense	float	9000	9000	0.151189	0.535754
m_atan(Dense)	Dense	float	10000	10000	0.182681	0.547403
m_atan(Dense)	Dense	double	1000	1000	0.00243925	0.409963
m_atan(Dense)	Dense	double	2000	2000	0.0101851	0.392729
m_atan(Dense)	Dense	double	3000	3000	0.0198916	0.452451
m_atan(Dense)	Dense	double	4000	4000	0.0383168	0.417571
m_atan(Dense)	Dense	double	5000	5000	0.0608637	0.410754
m_atan(Dense)	Dense	double	6000	6000	0.0883085	0.407662
m_atan(Dense)	Dense	double	7000	7000	0.113582	0.431408
m_atan(Dense)	Dense	double	8000	8000	0.147846	0.432884
m_atan(Dense)	Dense	double	9000	9000	0.180865	0.447847
m_atan(Dense)	Dense	double	10000	10000	0.219042	0.456534
