func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(CRS)	CRS	float	10000	10000	0.000328573	2.4652
m_sign(CRS)	CRS	float	20000	20000	0.000251438	6.44294
m_sign(CRS)	CRS	float	30000	30000	0.000387206	6.27573
m_sign(CRS)	CRS	float	40000	40000	0.000534684	6.05965
m_sign(CRS)	CRS	float	50000	50000	0.000639315	6.3349
m_sign(CRS)	CRS	float	60000	60000	0.00124107	3.91598
m_sign(CRS)	CRS	float	70000	70000	0.00225619	2.51308
m_sign(CRS)	CRS	float	80000	80000	0.00349227	1.85553
m_sign(CRS)	CRS	float	90000	90000	0.00470075	1.55082
m_sign(CRS)	CRS	float	100000	100000	0.00597602	1.35542
m_sign(CRS)	CRS	double	10000	10000	0.000156908	5.16226
m_sign(CRS)	CRS	double	20000	20000	0.000348103	4.6538
m_sign(CRS)	CRS	double	30000	30000	0.00101481	2.39453
m_sign(CRS)	CRS	double	40000	40000	0.00357186	0.90709
m_sign(CRS)	CRS	double	50000	50000	0.00572288	0.707686
m_sign(CRS)	CRS	double	60000	60000	0.00833119	0.58335
m_sign(CRS)	CRS	double	70000	70000	0.00761415	0.744666
m_sign(CRS)	CRS	double	80000	80000	0.0123554	0.524468
m_sign(CRS)	CRS	double	90000	90000	0.0140724	0.518036
m_sign(CRS)	CRS	double	100000	100000	0.0160994	0.503123
