func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(Dense)	Dense	float	1000	1000	0.000363648	2.74991
m_sign(Dense)	Dense	float	2000	2000	0.000259252	15.429
m_sign(Dense)	Dense	float	3000	3000	0.000634237	14.1903
m_sign(Dense)	Dense	float	4000	4000	0.00544006	2.94114
m_sign(Dense)	Dense	float	5000	5000	0.0116213	2.15123
m_sign(Dense)	Dense	float	6000	6000	0.015949	2.2572
m_sign(Dense)	Dense	float	7000	7000	0.0252578	1.93999
m_sign(Dense)	Dense	float	8000	8000	0.0332309	1.92592
m_sign(Dense)	Dense	float	9000	9000	0.0372622	2.17379
m_sign(Dense)	Dense	float	10000	10000	0.0482956	2.07058
m_sign(Dense)	Dense	double	1000	1000	8.04252e-05	12.4339
m_sign(Dense)	Dense	double	2000	2000	0.000349193	11.455
m_sign(Dense)	Dense	double	3000	3000	0.0072814	1.23603
m_sign(Dense)	Dense	double	4000	4000	0.0158092	1.01207
m_sign(Dense)	Dense	double	5000	5000	0.0110569	2.26103
m_sign(Dense)	Dense	double	6000	6000	0.0376285	0.956721
m_sign(Dense)	Dense	double	7000	7000	0.0517055	0.947675
m_sign(Dense)	Dense	double	8000	8000	0.0545647	1.17292
m_sign(Dense)	Dense	double	9000	9000	0.0734916	1.10217
m_sign(Dense)	Dense	double	10000	10000	0.0710814	1.40684
