func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(CRS)	CRS	float	10000	10000	0.000285579	2.83634
m_tan(CRS)	CRS	float	20000	20000	0.0005099	3.1771
m_tan(CRS)	CRS	float	30000	30000	0.000735023	3.30602
m_tan(CRS)	CRS	float	40000	40000	0.000960727	3.37245
m_tan(CRS)	CRS	float	50000	50000	0.00118736	3.41092
m_tan(CRS)	CRS	float	60000	60000	0.00141621	3.4317
m_tan(CRS)	CRS	float	70000	70000	0.00164129	3.45459
m_tan(CRS)	CRS	float	80000	80000	0.00186684	3.4711
m_tan(CRS)	CRS	float	90000	90000	0.00209396	3.48144
m_tan(CRS)	CRS	float	100000	100000	0.00231846	3.4937
m_tan(CRS)	CRS	double	10000	10000	0.00128651	0.629608
m_tan(CRS)	CRS	double	20000	20000	0.00251088	0.645193
m_tan(CRS)	CRS	double	30000	30000	0.00374093	0.649571
m_tan(CRS)	CRS	double	40000	40000	0.0049705	0.651846
m_tan(CRS)	CRS	double	50000	50000	0.00624459	0.648561
m_tan(CRS)	CRS	double	60000	60000	0.00750591	0.64749
m_tan(CRS)	CRS	double	70000	70000	0.00875458	0.647661
m_tan(CRS)	CRS	double	80000	80000	0.0100087	0.647436
m_tan(CRS)	CRS	double	90000	90000	0.0112446	0.648309
m_tan(CRS)	CRS	double	100000	100000	0.012484	0.648832
