func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	0.000182064	5.49256	65.9108
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.00054286	7.36838	88.4205
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.00114758	7.84257	94.1108
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.00199567	8.01737	96.2085
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.00323248	7.73399	92.8079
matadd(Dense,Dense,Dense)	Dense	float	6000	6000	0.00456093	7.89312	94.7174
matadd(Dense,Dense,Dense)	Dense	float	7000	7000	0.00612678	7.99768	95.9722
matadd(Dense,Dense,Dense)	Dense	float	8000	8000	0.00793994	8.06052	96.7262
matadd(Dense,Dense,Dense)	Dense	float	9000	9000	0.0101987	7.94215	95.3058
matadd(Dense,Dense,Dense)	Dense	float	10000	10000	0.0126816	7.88545	94.6254
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.000300575	3.32696	79.847
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.00102358	3.90785	93.7883
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.00231699	3.88434	93.2242
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.00409192	3.91015	93.8435
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.00627188	3.98605	95.6651
matadd(Dense,Dense,Dense)	Dense	double	6000	6000	0.00889469	4.04736	97.1366
matadd(Dense,Dense,Dense)	Dense	double	7000	7000	0.0120296	4.07329	97.7589
matadd(Dense,Dense,Dense)	Dense	double	8000	8000	0.0156381	4.09256	98.2214
matadd(Dense,Dense,Dense)	Dense	double	9000	9000	0.0197109	4.1094	98.6257
matadd(Dense,Dense,Dense)	Dense	double	10000	10000	0.0242775	4.11904	98.857
