func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matcopy(CRS,CRS,CRS)	CRS	float	10000	10000	0.000895411	0	7.2369
matcopy(CRS,CRS,CRS)	CRS	float	20000	20000	0.002542	0	5.09835
matcopy(CRS,CRS,CRS)	CRS	float	30000	30000	0.0042007	0	4.6278
matcopy(CRS,CRS,CRS)	CRS	float	40000	40000	0.0056777	0	4.56523
matcopy(CRS,CRS,CRS)	CRS	float	50000	50000	0.00567157	0	5.71271
matcopy(CRS,CRS,CRS)	CRS	float	60000	60000	0.00678874	0	5.72713
matcopy(CRS,CRS,CRS)	CRS	float	70000	70000	0.0079149	0	5.73096
matcopy(CRS,CRS,CRS)	CRS	float	80000	80000	0.00907773	0	5.71068
matcopy(CRS,CRS,CRS)	CRS	float	90000	90000	0.0101875	0	5.72468
matcopy(CRS,CRS,CRS)	CRS	float	100000	100000	0.0131588	0	4.92444
matcopy(CRS,CRS,CRS)	CRS	double	10000	10000	0.00200523	0	6.4631
matcopy(CRS,CRS,CRS)	CRS	double	20000	20000	0.00463965	0	5.58663
matcopy(CRS,CRS,CRS)	CRS	double	30000	30000	0.00678111	0	5.73357
matcopy(CRS,CRS,CRS)	CRS	double	40000	40000	0.00906569	0	5.71827
matcopy(CRS,CRS,CRS)	CRS	double	50000	50000	0.0113121	0	5.72838
matcopy(CRS,CRS,CRS)	CRS	double	60000	60000	0.0135367	0	5.74437
matcopy(CRS,CRS,CRS)	CRS	double	70000	70000	0.0158161	0	5.73592
matcopy(CRS,CRS,CRS)	CRS	double	80000	80000	0.0180899	0	5.73137
matcopy(CRS,CRS,CRS)	CRS	double	90000	90000	0.0203501	0	5.73168
matcopy(CRS,CRS,CRS)	CRS	double	100000	100000	0.022588	0	5.73757
