func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(CRS,CRS,CRS)	CRS	float	10000	10000	0.000828472	0.977704	11.7324
mm_add(CRS,CRS,CRS)	CRS	float	20000	20000	0.00174793	0.926812	11.1217
mm_add(CRS,CRS,CRS)	CRS	float	30000	30000	0.00263868	0.920916	11.051
mm_add(CRS,CRS,CRS)	CRS	float	40000	40000	0.00351764	0.921073	11.0529
mm_add(CRS,CRS,CRS)	CRS	float	50000	50000	0.00439548	0.921401	11.0568
mm_add(CRS,CRS,CRS)	CRS	float	60000	60000	0.00524948	0.925807	11.1097
mm_add(CRS,CRS,CRS)	CRS	float	70000	70000	0.00612732	0.925364	11.1044
mm_add(CRS,CRS,CRS)	CRS	float	80000	80000	0.0070002	0.925688	11.1083
mm_add(CRS,CRS,CRS)	CRS	float	90000	90000	0.00787779	0.925387	11.1046
mm_add(CRS,CRS,CRS)	CRS	float	100000	100000	0.00874556	0.926184	11.1142
mm_add(CRS,CRS,CRS)	CRS	double	10000	10000	0.0017208	0.470712	11.2971
mm_add(CRS,CRS,CRS)	CRS	double	20000	20000	0.0034537	0.469062	11.2575
mm_add(CRS,CRS,CRS)	CRS	double	30000	30000	0.00525045	0.462818	11.1076
mm_add(CRS,CRS,CRS)	CRS	double	40000	40000	0.00699949	0.462891	11.1094
mm_add(CRS,CRS,CRS)	CRS	double	50000	50000	0.00874324	0.463215	11.1172
mm_add(CRS,CRS,CRS)	CRS	double	60000	60000	0.0105178	0.462073	11.0897
mm_add(CRS,CRS,CRS)	CRS	double	70000	70000	0.0122348	0.463433	11.1224
mm_add(CRS,CRS,CRS)	CRS	double	80000	80000	0.0139793	0.463541	11.125
mm_add(CRS,CRS,CRS)	CRS	double	90000	90000	0.0157431	0.46306	11.1134
mm_add(CRS,CRS,CRS)	CRS	double	100000	100000	0.0174934	0.463032	11.1128
