func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.000631453	2.56551	15.3931
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.00100743	3.21609	19.2966
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00421667	1.15257	6.91541
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.0066308	0.977257	5.86354
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00920624	0.879838	5.27903
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.0124008	0.783822	4.70293
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.0150238	0.754803	4.52882
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.0179588	0.72165	4.3299
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.0210577	0.692383	4.1543
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.0173853	0.931821	5.59093
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.00114157	1.4191	17.0291
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.00739556	0.4381	5.25721
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.0122643	0.396271	4.75525
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.01799	0.360199	4.32239
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.00854939	0.947436	11.3692
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.0194421	0.499946	5.99935
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.0338472	0.335035	4.02042
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.0237924	0.544713	6.53655
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.0291691	0.499845	5.99814
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.0477148	0.339517	4.07421
