func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00286809
transpose(Dense)	Dense	float	2000	2000	0.00823675
transpose(Dense)	Dense	float	3000	3000	0.0362226
transpose(Dense)	Dense	float	4000	4000	0.0704924
transpose(Dense)	Dense	float	5000	5000	0.118217
transpose(Dense)	Dense	float	6000	6000	0.189604
transpose(Dense)	Dense	float	7000	7000	0.272471
transpose(Dense)	Dense	float	8000	8000	0.362264
transpose(Dense)	Dense	float	9000	9000	0.477267
transpose(Dense)	Dense	float	10000	10000	0.61161
transpose(Dense)	Dense	double	1000	1000	0.00329312
transpose(Dense)	Dense	double	2000	2000	0.0142423
transpose(Dense)	Dense	double	3000	3000	0.0525943
transpose(Dense)	Dense	double	4000	4000	0.104743
transpose(Dense)	Dense	double	5000	5000	0.184011
transpose(Dense)	Dense	double	6000	6000	0.285441
transpose(Dense)	Dense	double	7000	7000	0.415973
transpose(Dense)	Dense	double	8000	8000	0.681632
transpose(Dense)	Dense	double	9000	9000	0.73215
transpose(Dense)	Dense	double	10000	10000	0.89903
