func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tan	vector	float	1000	3.46541e-05	0.0288566	0.230853
tan	vector	float	10000	3.63226e-05	0.275311	2.20249
tan	vector	float	100000	6.119e-05	1.63425	13.074
tan	vector	float	1000000	0.000187729	5.32683	42.6147
tan	vector	float	10000000	0.00143885	6.95	55.6
tan	vector	float	100000000	0.0142584	7.01341	56.1072
tan	vector	double	1000	5.74469e-05	0.0174074	0.278518
tan	vector	double	10000	0.000106064	0.0942825	1.50852
tan	vector	double	100000	0.000124896	0.800663	12.8106
tan	vector	double	1000000	0.000851597	1.17426	18.7882
tan	vector	double	10000000	0.00725242	1.37885	22.0616
tan	vector	double	100000000	0.0709235	1.40997	22.5595
