func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
tanh	vector	float	1000	3.03556e-05	0.0329429	0.263543
tanh	vector	float	10000	3.82213e-05	0.261634	2.09307
tanh	vector	float	100000	4.84778e-05	2.0628	16.5024
tanh	vector	float	1000000	0.000159156	6.28313	50.265
tanh	vector	float	10000000	0.00109956	9.09457	72.7566
tanh	vector	float	100000000	0.0111874	8.93861	71.5089
tanh	vector	double	1000	5.64368e-05	0.0177189	0.283503
tanh	vector	double	10000	8.80344e-05	0.113592	1.81747
tanh	vector	double	100000	0.00011558	0.865205	13.8433
tanh	vector	double	1000000	0.00045478	2.19886	35.1818
tanh	vector	double	10000000	0.00395777	2.52668	40.4268
tanh	vector	double	100000000	0.039151	2.55421	40.8674
