func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00104427	0.0775662	0.620529
mscal(CRS)	float	2000	2000	2.89276e-05	5.60019	44.8015
mscal(CRS)	float	4000	4000	3.91892e-05	8.26758	66.1407
mscal(CRS)	float	8000	8000	7.25536e-05	8.93133	71.4506
mscal(CRS)	float	16000	16000	0.000133769	9.68834	77.5067
mscal(CRS)	float	32000	32000	0.000230647	11.2379	89.9035
mscal(CRS)	float	64000	64000	0.00113047	4.58572	36.6858
mscal(CRS)	double	1000	1000	2.73925e-05	2.95701	47.3122
mscal(CRS)	double	2000	2000	3.77291e-05	4.29377	68.7003
mscal(CRS)	double	4000	4000	6.46729e-05	5.00983	80.1572
mscal(CRS)	double	8000	8000	0.000133439	4.85616	77.6985
mscal(CRS)	double	16000	16000	0.00025443	5.09374	81.4999
mscal(CRS)	double	32000	32000	0.00108585	2.38707	38.1931
mscal(CRS)	double	64000	64000	0.0086644	0.59831	9.57297
