func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.00019735	0.820877
mv_mul(CRS)	float	2000	2000	4.23702e-05	7.64688
mv_mul(CRS)	float	4000	4000	7.81412e-05	8.29268
mv_mul(CRS)	float	8000	8000	0.000159758	8.11226
mv_mul(CRS)	float	16000	16000	0.000347397	7.4612
mv_mul(CRS)	float	32000	32000	0.00134707	3.84834
mv_mul(CRS)	float	64000	64000	0.0076817	1.3497
mv_mul(CRS)	double	1000	1000	2.8627e-05	5.65899
mv_mul(CRS)	double	2000	2000	5.0874e-05	6.36868
mv_mul(CRS)	double	4000	4000	9.42217e-05	6.8774
mv_mul(CRS)	double	8000	8000	0.000197903	6.54866
mv_mul(CRS)	double	16000	16000	0.000434979	5.95891
mv_mul(CRS)	double	32000	32000	0.00490778	1.05628
mv_mul(CRS)	double	64000	64000	0.0124863	0.830347
