func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(Dense)	Dense	float	1000	1000	0.000277505	3.60354
m_tan(Dense)	Dense	float	2000	2000	0.000923467	4.3315
m_tan(Dense)	Dense	float	3000	3000	0.00200487	4.48907
m_tan(Dense)	Dense	float	4000	4000	0.00344728	4.64135
m_tan(Dense)	Dense	float	5000	5000	0.00464273	5.38476
m_tan(Dense)	Dense	float	6000	6000	0.00598118	6.01888
m_tan(Dense)	Dense	float	7000	7000	0.00808635	6.0596
m_tan(Dense)	Dense	float	8000	8000	0.010529	6.07843
m_tan(Dense)	Dense	float	9000	9000	0.0132979	6.09118
m_tan(Dense)	Dense	float	10000	10000	0.0163728	6.1077
m_tan(Dense)	Dense	double	1000	1000	0.000697927	1.43281
m_tan(Dense)	Dense	double	2000	2000	0.00244602	1.63531
m_tan(Dense)	Dense	double	3000	3000	0.00543029	1.65737
m_tan(Dense)	Dense	double	4000	4000	0.00965631	1.65695
m_tan(Dense)	Dense	double	5000	5000	0.015064	1.65959
m_tan(Dense)	Dense	double	6000	6000	0.021621	1.66505
m_tan(Dense)	Dense	double	7000	7000	0.029456	1.6635
m_tan(Dense)	Dense	double	8000	8000	0.0382634	1.67262
m_tan(Dense)	Dense	double	9000	9000	0.0485071	1.66986
m_tan(Dense)	Dense	double	10000	10000	0.0598358	1.67124
