func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.000373301	4.33966	26.0379
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.000683922	4.73738	28.4243
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00108469	4.48054	26.8832
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.00121562	5.33062	31.9837
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00131944	6.13899	36.8339
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.00154739	6.28155	37.6893
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.00188547	6.01441	36.0864
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.00217644	5.95467	35.728
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.00244385	5.96601	35.7961
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.0027139	5.96928	35.8157
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.000523387	3.09522	37.1427
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.000871452	3.71793	44.6152
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.00126844	3.83149	45.9779
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.00167961	3.85804	46.2965
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.00218213	3.71197	44.5437
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.00259379	3.74741	44.9689
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.00298734	3.79602	45.5523
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.0034864	3.7173	44.6076
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.00381364	3.82312	45.8774
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.00422825	3.83137	45.9764
