func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_add(CRS,CRS)	CRS	float	10000	10000	0.000256189	6.32345	25.2938
sm_add(CRS,CRS)	CRS	float	20000	20000	0.000451317	7.17899	28.716
sm_add(CRS,CRS)	CRS	float	30000	30000	0.000647083	7.51062	30.0425
sm_add(CRS,CRS)	CRS	float	40000	40000	0.000790068	8.20183	32.8073
sm_add(CRS,CRS)	CRS	float	50000	50000	0.00085505	9.47313	37.8925
sm_add(CRS,CRS)	CRS	float	60000	60000	0.000965465	10.0677	40.2707
sm_add(CRS,CRS)	CRS	float	70000	70000	0.00111403	10.1792	40.717
sm_add(CRS,CRS)	CRS	float	80000	80000	0.00126504	10.2448	40.979
sm_add(CRS,CRS)	CRS	float	90000	90000	0.00142215	10.2521	41.0083
sm_add(CRS,CRS)	CRS	float	100000	100000	0.00165214	9.80545	39.2218
sm_add(CRS,CRS)	CRS	double	10000	10000	0.000324654	4.98993	39.9195
sm_add(CRS,CRS)	CRS	double	20000	20000	0.000588859	5.50217	44.0174
sm_add(CRS,CRS)	CRS	double	30000	30000	0.000853783	5.69231	45.5385
sm_add(CRS,CRS)	CRS	double	40000	40000	0.00111814	5.79536	46.3629
sm_add(CRS,CRS)	CRS	double	50000	50000	0.00138372	5.85379	46.8304
sm_add(CRS,CRS)	CRS	double	60000	60000	0.00166995	5.82053	46.5643
sm_add(CRS,CRS)	CRS	double	70000	70000	0.00200667	5.65116	45.2093
sm_add(CRS,CRS)	CRS	double	80000	80000	0.00230159	5.63089	45.0471
sm_add(CRS,CRS)	CRS	double	90000	90000	0.00259179	5.62546	45.0037
sm_add(CRS,CRS)	CRS	double	100000	100000	0.00283519	5.71391	45.7112
