func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_min	vector	float	1000	5.30271e-05	0.0188583	0.0754332
v_min	vector	float	10000	5.75997e-05	0.173612	0.694448
v_min	vector	float	100000	0.000127089	0.786847	3.14739
v_min	vector	float	1000000	0.00108276	0.923567	3.69427
v_min	vector	float	10000000	0.00770818	1.29732	5.18929
v_min	vector	float	100000000	0.0698829	1.43097	5.72386
v_min	vector	double	1000	5.26223e-05	0.0190034	0.152027
v_min	vector	double	10000	5.7825e-05	0.172936	1.38349
v_min	vector	double	100000	0.000121559	0.822648	6.58118
v_min	vector	double	1000000	0.000908461	1.10076	8.8061
v_min	vector	double	10000000	0.00649259	1.54022	12.3217
v_min	vector	double	100000000	0.06247	1.60077	12.8062
