func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(Dense)	Dense	float	1000	1000	0.0010976	0.911076
m_tan(Dense)	Dense	float	2000	2000	0.00137672	2.90546
m_tan(Dense)	Dense	float	3000	3000	0.00309021	2.91242
m_tan(Dense)	Dense	float	4000	4000	0.00706712	2.26401
m_tan(Dense)	Dense	float	5000	5000	0.00930929	2.68549
m_tan(Dense)	Dense	float	6000	6000	0.0109263	3.29479
m_tan(Dense)	Dense	float	7000	7000	0.026321	1.86163
m_tan(Dense)	Dense	float	8000	8000	0.025543	2.50558
m_tan(Dense)	Dense	float	9000	9000	0.0322768	2.50955
m_tan(Dense)	Dense	float	10000	10000	0.0314182	3.18287
m_tan(Dense)	Dense	double	1000	1000	0.00105077	0.951686
m_tan(Dense)	Dense	double	2000	2000	0.00430174	0.929856
m_tan(Dense)	Dense	double	3000	3000	0.00960167	0.937337
m_tan(Dense)	Dense	double	4000	4000	0.0178407	0.896825
m_tan(Dense)	Dense	double	5000	5000	0.0198634	1.2586
m_tan(Dense)	Dense	double	6000	6000	0.0304812	1.18105
m_tan(Dense)	Dense	double	7000	7000	0.0371273	1.31978
m_tan(Dense)	Dense	double	8000	8000	0.0515597	1.24128
m_tan(Dense)	Dense	double	9000	9000	0.0655285	1.2361
m_tan(Dense)	Dense	double	10000	10000	0.0833488	1.19978
