func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000146853	5.51572	44.1258
mscal(CRS)	CRS	float	20000	20000	0.000203634	7.95545	63.6436
mscal(CRS)	CRS	float	30000	30000	0.000289436	8.39565	67.1652
mscal(CRS)	CRS	float	40000	40000	0.000385479	8.40512	67.241
mscal(CRS)	CRS	float	50000	50000	0.000480995	8.42004	67.3603
mscal(CRS)	CRS	float	60000	60000	0.000584035	8.32142	66.5713
mscal(CRS)	CRS	float	70000	70000	0.00243207	2.33134	18.6508
mscal(CRS)	CRS	float	80000	80000	0.00378878	1.71031	13.6825
mscal(CRS)	CRS	float	90000	90000	0.00224318	3.24985	25.9988
mscal(CRS)	CRS	float	100000	100000	0.00582359	1.39089	11.1272
mscal(CRS)	CRS	double	10000	10000	0.000128874	6.2852	100.563
mscal(CRS)	CRS	double	20000	20000	0.000233157	6.9481	111.17
mscal(CRS)	CRS	double	30000	30000	0.000395435	6.14513	98.3221
mscal(CRS)	CRS	double	40000	40000	0.00377803	0.857589	13.7214
mscal(CRS)	CRS	double	50000	50000	0.00572395	0.707554	11.3209
mscal(CRS)	CRS	double	60000	60000	0.00838315	0.579734	9.27575
mscal(CRS)	CRS	double	70000	70000	0.0102939	0.550812	8.81299
mscal(CRS)	CRS	double	80000	80000	0.0120416	0.538137	8.61019
mscal(CRS)	CRS	double	90000	90000	0.0142205	0.512641	8.20226
mscal(CRS)	CRS	double	100000	100000	0.015768	0.513698	8.21918
