func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_pow	vector	float	1000	3.16948e-05	0.031551	0.252408
sv_pow	vector	float	10000	2.88601e-05	0.3465	2.772
sv_pow	vector	float	100000	7.50081e-05	1.33319	10.6655
sv_pow	vector	float	1000000	0.000371614	2.69096	21.5277
sv_pow	vector	float	10000000	0.00240088	4.16513	33.3211
sv_pow	vector	float	100000000	0.0169187	5.91061	47.2849
sv_pow	vector	double	1000	7.581e-05	0.0131909	0.211054
sv_pow	vector	double	10000	0.000116142	0.0861013	1.37762
sv_pow	vector	double	100000	0.000385254	0.259569	4.1531
sv_pow	vector	double	1000000	0.00233168	0.428875	6.862
sv_pow	vector	double	10000000	0.0210203	0.475731	7.6117
sv_pow	vector	double	100000000	0.205748	0.486032	7.77651
