func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_pow	vector	float	1000	0.000686286	0.00145712	0.0174854
vv_pow	vector	float	10000	2.14496e-05	0.46621	5.59452
vv_pow	vector	float	100000	9.39474e-05	1.06443	12.7731
vv_pow	vector	float	1000000	0.000595367	1.67964	20.1556
vv_pow	vector	float	10000000	0.00647296	1.54489	18.5387
vv_pow	vector	float	100000000	0.0610188	1.63884	19.6661
vv_pow	vector	double	1000	1.21632e-05	0.0822152	1.97316
vv_pow	vector	double	10000	2.29872e-05	0.435025	10.4406
vv_pow	vector	double	100000	0.000112053	0.892438	21.4185
vv_pow	vector	double	1000000	0.00106991	0.93466	22.4318
vv_pow	vector	double	10000000	0.0303182	0.329835	7.91605
vv_pow	vector	double	100000000	0.12098	0.82658	19.8379
