func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00263294
convert(COO,Dense)	Dense	float	2000	2000	0.00603107
convert(COO,Dense)	Dense	float	3000	3000	0.0331579
convert(COO,Dense)	Dense	float	4000	4000	0.0633606
convert(COO,Dense)	Dense	float	5000	5000	0.0971244
convert(COO,Dense)	Dense	float	6000	6000	0.137997
convert(COO,Dense)	Dense	float	7000	7000	0.1866
convert(COO,Dense)	Dense	float	8000	8000	0.241633
convert(COO,Dense)	Dense	float	9000	9000	0.301148
convert(COO,Dense)	Dense	float	10000	10000	0.367607
convert(COO,Dense)	Dense	double	1000	1000	0.00342956
convert(COO,Dense)	Dense	double	2000	2000	0.0115492
convert(COO,Dense)	Dense	double	3000	3000	0.0684405
convert(COO,Dense)	Dense	double	4000	4000	0.120274
convert(COO,Dense)	Dense	double	5000	5000	0.185068
convert(COO,Dense)	Dense	double	6000	6000	0.263397
convert(COO,Dense)	Dense	double	7000	7000	0.357889
convert(COO,Dense)	Dense	double	8000	8000	0.461097
convert(COO,Dense)	Dense	double	9000	9000	0.57857
convert(COO,Dense)	Dense	double	10000	10000	0.647263
