func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_ceil(CRS)	CRS	float	10000	10000	0.000185481	4.36702
m_ceil(CRS)	CRS	float	20000	20000	0.000531416	3.04846
m_ceil(CRS)	CRS	float	30000	30000	0.00172206	1.4111
m_ceil(CRS)	CRS	float	40000	40000	0.00238756	1.35703
m_ceil(CRS)	CRS	float	50000	50000	0.00300418	1.34812
m_ceil(CRS)	CRS	float	60000	60000	0.00361276	1.34523
m_ceil(CRS)	CRS	float	70000	70000	0.00423019	1.34037
m_ceil(CRS)	CRS	float	80000	80000	0.00481018	1.34714
m_ceil(CRS)	CRS	float	90000	90000	0.00541536	1.34617
m_ceil(CRS)	CRS	float	100000	100000	0.00599706	1.35066
m_ceil(CRS)	CRS	double	10000	10000	0.000522219	1.55107
m_ceil(CRS)	CRS	double	20000	20000	0.00238185	0.680144
m_ceil(CRS)	CRS	double	30000	30000	0.00359509	0.675922
m_ceil(CRS)	CRS	double	40000	40000	0.00478086	0.677702
m_ceil(CRS)	CRS	double	50000	50000	0.00597475	0.677853
m_ceil(CRS)	CRS	double	60000	60000	0.0072002	0.674981
m_ceil(CRS)	CRS	double	70000	70000	0.00835682	0.678488
m_ceil(CRS)	CRS	double	80000	80000	0.00953394	0.679677
m_ceil(CRS)	CRS	double	90000	90000	0.0106717	0.683113
m_ceil(CRS)	CRS	double	100000	100000	0.0118274	0.68485
