func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_reciprocal(Dense)	Dense	float	1000	1000	0.000259541	3.85296
m_reciprocal(Dense)	Dense	float	2000	2000	0.00110484	3.62045
m_reciprocal(Dense)	Dense	float	3000	3000	0.00335204	2.68493
m_reciprocal(Dense)	Dense	float	4000	4000	0.00593733	2.69481
m_reciprocal(Dense)	Dense	float	5000	5000	0.00927893	2.69428
m_reciprocal(Dense)	Dense	float	6000	6000	0.0133635	2.6939
m_reciprocal(Dense)	Dense	float	7000	7000	0.0181717	2.6965
m_reciprocal(Dense)	Dense	float	8000	8000	0.0237034	2.70004
m_reciprocal(Dense)	Dense	float	9000	9000	0.0299576	2.70382
m_reciprocal(Dense)	Dense	float	10000	10000	0.0369702	2.70488
m_reciprocal(Dense)	Dense	double	1000	1000	0.000363843	2.74844
m_reciprocal(Dense)	Dense	double	2000	2000	0.00299858	1.33397
m_reciprocal(Dense)	Dense	double	3000	3000	0.00667974	1.34736
m_reciprocal(Dense)	Dense	double	4000	4000	0.0118605	1.34902
m_reciprocal(Dense)	Dense	double	5000	5000	0.0184646	1.35394
m_reciprocal(Dense)	Dense	double	6000	6000	0.0265245	1.35724
m_reciprocal(Dense)	Dense	double	7000	7000	0.0360522	1.35914
m_reciprocal(Dense)	Dense	double	8000	8000	0.0467241	1.36974
m_reciprocal(Dense)	Dense	double	9000	9000	0.0588231	1.37701
m_reciprocal(Dense)	Dense	double	10000	10000	0.0721495	1.38601
