func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matcopy(Dense,Dense,Dense)	Dense	float	1000	1000	0.00716835	0	1.11602
matcopy(Dense,Dense,Dense)	Dense	float	2000	2000	0.000991189	0	32.2845
matcopy(Dense,Dense,Dense)	Dense	float	3000	3000	0.00139964	0	51.4417
matcopy(Dense,Dense,Dense)	Dense	float	4000	4000	0.00197389	0	64.8465
matcopy(Dense,Dense,Dense)	Dense	float	5000	5000	0.00271676	0	73.617
matcopy(Dense,Dense,Dense)	Dense	float	6000	6000	0.00389715	0	73.9001
matcopy(Dense,Dense,Dense)	Dense	float	7000	7000	0.0049396	0	79.3587
matcopy(Dense,Dense,Dense)	Dense	float	8000	8000	0.00619379	0	82.6634
matcopy(Dense,Dense,Dense)	Dense	float	9000	9000	0.00758386	0	85.4446
matcopy(Dense,Dense,Dense)	Dense	float	10000	10000	0.00914318	0	87.4969
matcopy(Dense,Dense,Dense)	Dense	double	1000	1000	0.000831314	0	19.2466
matcopy(Dense,Dense,Dense)	Dense	double	2000	2000	0.00130302	0	49.1166
matcopy(Dense,Dense,Dense)	Dense	double	3000	3000	0.00212056	0	67.9064
matcopy(Dense,Dense,Dense)	Dense	double	4000	4000	0.00352219	0	72.6821
matcopy(Dense,Dense,Dense)	Dense	double	5000	5000	0.0050894	0	78.5948
matcopy(Dense,Dense,Dense)	Dense	double	6000	6000	0.00689321	0	83.5605
matcopy(Dense,Dense,Dense)	Dense	double	7000	7000	0.00895548	0	87.5442
matcopy(Dense,Dense,Dense)	Dense	double	8000	8000	0.0114032	0	89.7997
matcopy(Dense,Dense,Dense)	Dense	double	9000	9000	0.0142032	0	91.247
matcopy(Dense,Dense,Dense)	Dense	double	10000	10000	0.0171693	0	93.1896
