func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_div(CRS,CRS)	CRS	float	10000	10000	0.000199043	8.13894	32.5558
sm_div(CRS,CRS)	CRS	float	20000	20000	0.000530598	6.10631	24.4253
sm_div(CRS,CRS)	CRS	float	30000	30000	0.000951409	5.10821	20.4329
sm_div(CRS,CRS)	CRS	float	40000	40000	0.0032566	1.9898	7.95922
sm_div(CRS,CRS)	CRS	float	50000	50000	0.00473416	1.71097	6.84388
sm_div(CRS,CRS)	CRS	float	60000	60000	0.00598155	1.625	6.49999
sm_div(CRS,CRS)	CRS	float	70000	70000	0.00869555	1.30412	5.21646
sm_div(CRS,CRS)	CRS	float	80000	80000	0.0107248	1.20842	4.83367
sm_div(CRS,CRS)	CRS	float	90000	90000	0.0125356	1.16309	4.65234
sm_div(CRS,CRS)	CRS	float	100000	100000	0.0144976	1.11743	4.46972
sm_div(CRS,CRS)	CRS	double	10000	10000	0.000699131	2.31716	18.5373
sm_div(CRS,CRS)	CRS	double	20000	20000	0.00211904	1.52899	12.2319
sm_div(CRS,CRS)	CRS	double	30000	30000	0.00752906	0.645499	5.16399
sm_div(CRS,CRS)	CRS	double	40000	40000	0.0107586	0.602312	4.81849
sm_div(CRS,CRS)	CRS	double	50000	50000	0.0141525	0.572336	4.57869
sm_div(CRS,CRS)	CRS	double	60000	60000	0.0176483	0.550761	4.40609
sm_div(CRS,CRS)	CRS	double	70000	70000	0.00996417	1.13808	9.10463
sm_div(CRS,CRS)	CRS	double	80000	80000	0.0247037	0.524618	4.19694
sm_div(CRS,CRS)	CRS	double	90000	90000	0.0278711	0.523123	4.18498
sm_div(CRS,CRS)	CRS	double	100000	100000	0.0309071	0.524151	4.19321
