func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_div(Dense,Dense)	Dense	float	1000	1000	0.000212041	4.71607	37.7286
sm_div(Dense,Dense)	Dense	float	2000	2000	0.000669123	5.97798	47.8238
sm_div(Dense,Dense)	Dense	float	3000	3000	0.00143292	6.28089	50.2471
sm_div(Dense,Dense)	Dense	float	4000	4000	0.00249709	6.40746	51.2597
sm_div(Dense,Dense)	Dense	float	5000	5000	0.00396379	6.3071	50.4568
sm_div(Dense,Dense)	Dense	float	6000	6000	0.00572869	6.28416	50.2733
sm_div(Dense,Dense)	Dense	float	7000	7000	0.00771307	6.35285	50.8228
sm_div(Dense,Dense)	Dense	float	8000	8000	0.00999537	6.40296	51.2237
sm_div(Dense,Dense)	Dense	float	9000	9000	0.012591	6.43319	51.4655
sm_div(Dense,Dense)	Dense	float	10000	10000	0.015469	6.46456	51.7165
sm_div(Dense,Dense)	Dense	double	1000	1000	0.000455829	2.1938	35.1009
sm_div(Dense,Dense)	Dense	double	2000	2000	0.00170101	2.35154	37.6247
sm_div(Dense,Dense)	Dense	double	3000	3000	0.00387132	2.32479	37.1966
sm_div(Dense,Dense)	Dense	double	4000	4000	0.00693342	2.30766	36.9226
sm_div(Dense,Dense)	Dense	double	5000	5000	0.010734	2.32905	37.2647
sm_div(Dense,Dense)	Dense	double	6000	6000	0.015368	2.34253	37.4804
sm_div(Dense,Dense)	Dense	double	7000	7000	0.0208941	2.34516	37.5226
sm_div(Dense,Dense)	Dense	double	8000	8000	0.0275219	2.32542	37.2068
sm_div(Dense,Dense)	Dense	double	9000	9000	0.0345991	2.3411	37.4577
sm_div(Dense,Dense)	Dense	double	10000	10000	0.0427664	2.33829	37.4126
