func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	0.000482947	0.00414124	0.0248474
axpy	float	2000	0.00049697	0.00804877	0.0482926
axpy	float	4000	0.000500301	0.0159904	0.0959422
axpy	float	8000	0.000492218	0.0325059	0.195035
axpy	float	16000	0.000490031	0.0653019	0.391812
axpy	float	32000	0.00049955	0.128115	0.768692
axpy	float	64000	0.000498576	0.256731	1.54039
axpy	float	128000	0.000727096	0.352085	2.11251
axpy	float	256000	0.000739716	0.692157	4.15294
axpy	float	512000	0.000769144	1.33135	7.98811
axpy	float	1024000	0.000836701	2.44771	14.6863
axpy	float	2048000	0.000955658	4.28605	25.7163
axpy	float	4096000	0.00120686	6.78788	40.7273
axpy	float	8192000	0.00169764	9.65102	57.9061
axpy	float	16384000	0.00267951	12.2291	73.3747
axpy	float	32768000	0.00460181	14.2414	85.4482
axpy	float	65536000	0.00885273	14.8058	88.8349
axpy	double	1000	0.000657564	0.00304153	0.0364984
axpy	double	2000	0.000668529	0.00598328	0.0717994
axpy	double	4000	0.000671199	0.011919	0.143028
axpy	double	8000	0.000445998	0.0358746	0.430495
axpy	double	16000	0.00044895	0.0712774	0.855329
axpy	double	32000	0.000442124	0.144756	1.73707
axpy	double	64000	0.000454713	0.281496	3.37795
axpy	double	128000	0.000467045	0.548127	6.57752
axpy	double	256000	0.000500912	1.02214	12.2656
axpy	double	512000	0.000544533	1.88051	22.5661
axpy	double	1024000	0.000684328	2.99272	35.9126
axpy	double	2048000	0.000940022	4.35734	52.2881
axpy	double	4096000	0.0014313	5.72348	68.6818
axpy	double	8192000	0.00241823	6.7752	81.3025
axpy	double	16384000	0.00438148	7.47875	89.745
axpy	double	32768000	0.00831309	7.88347	94.6016
axpy	double	65536000	0.0161617	8.11002	97.3202
