func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	7.5287e-06	0.26565	1.5939
axpyz	float	2000	7.668e-06	0.521648	3.12989
axpyz	float	4000	7.3112e-06	1.09421	6.56527
axpyz	float	8000	7.4035e-06	2.16114	12.9668
axpyz	float	16000	7.1381e-06	4.48299	26.8979
axpyz	float	32000	8.0223e-06	7.97776	47.8666
axpyz	float	64000	8.9471e-06	14.3063	85.8379
axpyz	float	128000	9.7441e-06	26.2723	157.634
axpyz	float	256000	1.25611e-05	40.7608	244.565
axpyz	float	512000	2.25192e-05	45.4723	272.834
axpyz	float	1024000	4.2069e-05	48.6819	292.092
axpyz	float	2048000	7.70465e-05	53.1627	318.976
axpyz	float	4096000	0.00246831	3.31886	19.9132
axpyz	float	8192000	0.00653143	2.50848	15.0509
axpyz	float	16384000	0.00514218	6.37239	38.2343
axpyz	float	32768000	0.0409885	1.59889	9.59332
axpyz	float	65536000	0.0295376	4.43747	26.6248
axpyz	double	1000	7.1376e-06	0.280206	3.36247
axpyz	double	2000	8.171e-06	0.489536	5.87443
axpyz	double	4000	7.1176e-06	1.12397	13.4877
axpyz	double	8000	7.3876e-06	2.16579	25.9895
axpyz	double	16000	7.6913e-06	4.16055	49.9265
axpyz	double	32000	9.5738e-06	6.68491	80.2189
axpyz	double	64000	1.04105e-05	12.2953	147.543
axpyz	double	128000	1.30384e-05	19.6343	235.612
axpyz	double	256000	2.41945e-05	21.1618	253.942
axpyz	double	512000	4.36795e-05	23.4435	281.322
axpyz	double	1024000	8.18337e-05	25.0264	300.316
axpyz	double	2048000	0.00234297	1.74821	20.9785
axpyz	double	4096000	0.00886376	0.924213	11.0906
axpyz	double	8192000	0.020645	0.793607	9.52328
axpyz	double	16384000	0.0401699	0.815734	9.78881
axpyz	double	32768000	0.0576584	1.13663	13.6395
axpyz	double	65536000	0.140708	0.931516	11.1782
