func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	0.000250054	0.00399914	0.0319931
scal	float	2000	0.000275434	0.00726126	0.0580901
scal	float	4000	0.000284467	0.0140614	0.112491
scal	float	8000	0.00030795	0.0259782	0.207826
scal	float	16000	0.000325811	0.0491083	0.392866
scal	float	32000	0.000316734	0.101031	0.808249
scal	float	64000	0.000327265	0.19556	1.56448
scal	float	128000	0.000306514	0.417599	3.3408
scal	float	256000	0.000290906	0.88001	7.04008
scal	float	512000	0.000296876	1.72462	13.797
scal	float	1024000	0.000383834	2.66782	21.3426
scal	float	2048000	0.000432733	4.73271	37.8617
scal	float	4096000	0.000603677	6.78509	54.2807
scal	float	8192000	0.000930805	8.80098	70.4079
scal	float	16384000	0.00161481	10.1461	81.1686
scal	float	32768000	0.00308156	10.6336	85.0687
scal	float	65536000	0.00562319	11.6546	93.2368
scal	double	1000	0.000326468	0.00306309	0.0490094
scal	double	2000	0.000342085	0.00584649	0.0935439
scal	double	4000	0.000328112	0.012191	0.195056
scal	double	8000	0.000358979	0.0222854	0.356567
scal	double	16000	0.000339223	0.0471665	0.754665
scal	double	32000	0.00106512	0.0300435	0.480696
scal	double	64000	0.000324752	0.197073	3.15317
scal	double	128000	0.000303723	0.421436	6.74298
scal	double	256000	0.000316207	0.809597	12.9535
scal	double	512000	0.00037686	1.3586	21.7375
scal	double	1024000	0.000445266	2.29975	36.796
scal	double	2048000	0.00061874	3.30995	52.9593
scal	double	4096000	0.000940413	4.35553	69.6885
scal	double	8192000	0.00160825	5.09372	81.4996
scal	double	16384000	0.00293932	5.57408	89.1852
