func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	0.000135821	0.00736266	0.0294506
sum	vector	float	10000	9.98517e-06	1.00149	4.00594
sum	vector	float	100000	1.6295e-05	6.13684	24.5474
sum	vector	float	1000000	8.15291e-05	12.2656	49.0623
sum	vector	float	10000000	0.000951074	10.5144	42.0577
sum	vector	float	100000000	0.0302886	3.30157	13.2063
sum	vector	double	1000	9.30783e-06	0.107436	0.859491
sum	vector	double	10000	1.02416e-05	0.976407	7.81125
sum	vector	double	100000	1.57165e-05	6.36275	50.902
sum	vector	double	1000000	8.40241e-05	11.9013	95.2107
sum	vector	double	10000000	0.002107	4.74608	37.9686
sum	vector	double	100000000	0.0704188	1.42007	11.3606
