func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.000501214	1.99516
m_tanh(Dense)	Dense	float	2000	2000	0.00108112	3.69986
m_tanh(Dense)	Dense	float	3000	3000	0.00245886	3.66023
m_tanh(Dense)	Dense	float	4000	4000	0.00492567	3.24829
m_tanh(Dense)	Dense	float	5000	5000	0.0074066	3.37537
m_tanh(Dense)	Dense	float	6000	6000	0.0126483	2.84624
m_tanh(Dense)	Dense	float	7000	7000	0.0180566	2.71369
m_tanh(Dense)	Dense	float	8000	8000	0.019858	3.22288
m_tanh(Dense)	Dense	float	9000	9000	0.0239042	3.38853
m_tanh(Dense)	Dense	float	10000	10000	0.0297638	3.35978
m_tanh(Dense)	Dense	double	1000	1000	0.000719505	1.38984
m_tanh(Dense)	Dense	double	2000	2000	0.00288909	1.38452
m_tanh(Dense)	Dense	double	3000	3000	0.00697535	1.29026
m_tanh(Dense)	Dense	double	4000	4000	0.0124442	1.28574
m_tanh(Dense)	Dense	double	5000	5000	0.0196614	1.27153
m_tanh(Dense)	Dense	double	6000	6000	0.0280131	1.28511
m_tanh(Dense)	Dense	double	7000	7000	0.0386133	1.26899
m_tanh(Dense)	Dense	double	8000	8000	0.0499721	1.28072
m_tanh(Dense)	Dense	double	9000	9000	0.0634844	1.2759
m_tanh(Dense)	Dense	double	10000	10000	0.0788006	1.26903
