func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(Dense)	Dense	float	1000	1000	0.000598783	1.67005
m_sinh(Dense)	Dense	float	2000	2000	0.0018815	2.12596
m_sinh(Dense)	Dense	float	3000	3000	0.00428386	2.10091
m_sinh(Dense)	Dense	float	4000	4000	0.00740566	2.16051
m_sinh(Dense)	Dense	float	5000	5000	0.0117569	2.12642
m_sinh(Dense)	Dense	float	6000	6000	0.0167166	2.15355
m_sinh(Dense)	Dense	float	7000	7000	0.0227378	2.155
m_sinh(Dense)	Dense	float	8000	8000	0.029697	2.1551
m_sinh(Dense)	Dense	float	9000	9000	0.0375744	2.15572
m_sinh(Dense)	Dense	float	10000	10000	0.0465733	2.14715
m_sinh(Dense)	Dense	double	1000	1000	0.000811431	1.23239
m_sinh(Dense)	Dense	double	2000	2000	0.00283715	1.40986
m_sinh(Dense)	Dense	double	3000	3000	0.00624491	1.44117
m_sinh(Dense)	Dense	double	4000	4000	0.0110352	1.4499
m_sinh(Dense)	Dense	double	5000	5000	0.0171988	1.45359
m_sinh(Dense)	Dense	double	6000	6000	0.0247794	1.45282
m_sinh(Dense)	Dense	double	7000	7000	0.0347049	1.4119
m_sinh(Dense)	Dense	double	8000	8000	0.0463296	1.38141
m_sinh(Dense)	Dense	double	9000	9000	0.0593379	1.36506
m_sinh(Dense)	Dense	double	10000	10000	0.0730163	1.36956
