func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sqrt(Dense)	Dense	float	1000	1000	0.00025423	3.93345
m_sqrt(Dense)	Dense	float	2000	2000	0.000993934	4.02441
m_sqrt(Dense)	Dense	float	3000	3000	0.00221866	4.0565
m_sqrt(Dense)	Dense	float	4000	4000	0.00487659	3.28098
m_sqrt(Dense)	Dense	float	5000	5000	0.00981015	2.54838
m_sqrt(Dense)	Dense	float	6000	6000	0.0138129	2.60627
m_sqrt(Dense)	Dense	float	7000	7000	0.021	2.33333
m_sqrt(Dense)	Dense	float	8000	8000	0.0280664	2.28031
m_sqrt(Dense)	Dense	float	9000	9000	0.0360665	2.24585
m_sqrt(Dense)	Dense	float	10000	10000	0.0338178	2.95702
m_sqrt(Dense)	Dense	double	1000	1000	0.000348134	2.87246
m_sqrt(Dense)	Dense	double	2000	2000	0.000993897	4.02456
m_sqrt(Dense)	Dense	double	3000	3000	0.00771642	1.16634
m_sqrt(Dense)	Dense	double	4000	4000	0.0152394	1.04991
m_sqrt(Dense)	Dense	double	5000	5000	0.0253183	0.987429
m_sqrt(Dense)	Dense	double	6000	6000	0.0360868	0.997595
m_sqrt(Dense)	Dense	double	7000	7000	0.0373126	1.31323
m_sqrt(Dense)	Dense	double	8000	8000	0.0653363	0.979548
m_sqrt(Dense)	Dense	double	9000	9000	0.0812699	0.996679
m_sqrt(Dense)	Dense	double	10000	10000	0.0682011	1.46625
